DATE,GPRD,GPRD_ACT,GPRD_THREAT,EVENT
01-01-1985,230.04,275.20,153.03,
02-01-1985,115.68,146.77,87.44,
03-01-1985,97.43,158.94,29.46,
04-01-1985,157.37,156.88,157.03,
05-01-1985,81.36,92.70,77.32,
06-01-1985,167.30,166.79,208.67,
07-01-1985,105.31,57.27,143.30,
08-01-1985,87.40,34.85,130.82,
09-01-1985,121.40,103.74,129.79,
10-01-1985,140.63,77.89,181.90,
11-01-1985,94.85,130.93,72.81,
12-01-1985,95.55,42.34,123.60,
13-01-1985,91.78,16.64,138.77,
14-01-1985,211.64,183.47,229.54,
15-01-1985,97.17,105.68,102.83,
16-01-1985,106.33,114.16,95.22,
17-01-1985,54.69,62.31,38.98,
18-01-1985,111.21,63.35,132.11,
19-01-1985,51.60,41.15,68.65,
20-01-1985,77.84,68.98,86.30,
21-01-1985,138.41,183.98,76.73,
22-01-1985,51.76,61.92,34.43,
23-01-1985,124.85,82.97,138.42,
24-01-1985,83.65,50.04,97.38,
25-01-1985,70.18,13.99,105.04,
26-01-1985,54.13,43.17,72.01,
27-01-1985,63.70,47.63,66.21,
28-01-1985,101.50,36.80,138.11,
29-01-1985,76.81,114.87,47.90,
30-01-1985,16.16,0.00,26.87,
31-01-1985,111.48,111.14,119.19,
01-02-1985,106.61,106.28,88.65,
02-02-1985,119.37,99.17,132.35,
03-02-1985,112.16,104.36,124.36,
04-02-1985,80.36,89.01,89.09,
05-02-1985,174.89,123.07,239.52,
06-02-1985,124.22,49.54,165.27,
07-02-1985,130.96,76.80,153.74,
08-02-1985,147.88,103.20,172.16,
09-02-1985,123.83,144.03,120.13,
10-02-1985,133.99,89.05,185.70,
11-02-1985,139.18,111.00,154.31,
12-02-1985,153.86,126.32,150.52,
13-02-1985,109.64,140.53,78.14,
14-02-1985,80.21,63.97,80.03,
15-02-1985,83.96,60.87,88.85,
16-02-1985,63.10,62.90,52.47,
17-02-1985,68.30,51.07,70.99,
18-02-1985,128.76,163.37,77.87,
19-02-1985,100.11,72.58,136.21,
20-02-1985,64.59,36.80,92.07,
21-02-1985,85.60,102.40,56.94,
22-02-1985,157.74,104.84,174.89,
23-02-1985,200.44,126.21,228.08,
24-02-1985,91.59,76.09,114.24,
25-02-1985,100.13,99.82,97.14,
26-02-1985,125.18,115.20,112.10,
27-02-1985,120.73,75.22,150.59,
28-02-1985,144.72,144.28,133.71,
01-03-1985,146.57,131.51,134.07,
02-03-1985,149.53,68.80,191.28,
03-03-1985,77.76,15.50,116.39,
04-03-1985,82.61,115.29,68.69,
05-03-1985,137.31,102.66,171.26,
06-03-1985,179.06,178.51,148.89,
07-03-1985,132.50,108.78,129.62,
08-03-1985,91.80,106.77,63.61,
09-03-1985,90.14,67.40,112.43,
10-03-1985,119.37,104.13,124.08,
11-03-1985,129.74,155.20,115.07,
12-03-1985,232.91,344.00,143.46,
13-03-1985,183.18,228.27,177.71,
14-03-1985,177.46,221.14,122.97,
15-03-1985,138.34,76.62,191.73,
16-03-1985,194.86,107.92,252.05,
17-03-1985,42.65,28.35,47.29,
18-03-1985,124.33,123.95,132.93,
19-03-1985,139.11,138.68,144.59,
20-03-1985,136.23,128.66,143.09,
21-03-1985,118.59,110.34,157.78,
22-03-1985,102.78,110.34,78.89,
23-03-1985,98.72,109.35,91.21,
24-03-1985,79.82,39.79,132.75,
25-03-1985,75.63,120.63,37.73,
26-03-1985,95.39,103.74,72.11,
27-03-1985,135.94,71.33,166.58,
28-03-1985,145.02,136.96,165.02,
29-03-1985,87.00,26.69,122.42,
30-03-1985,142.70,142.26,152.56,
31-03-1985,70.31,46.73,77.96,
01-04-1985,90.26,89.98,90.07,
02-04-1985,79.06,94.58,92.04,
03-04-1985,88.79,68.09,124.95,
04-04-1985,155.72,127.01,188.34,
05-04-1985,95.55,95.26,79.46,
06-04-1985,179.06,111.57,204.73,
07-04-1985,57.54,81.94,41.01,
08-04-1985,149.37,70.08,204.58,
09-04-1985,96.72,96.42,80.42,
10-04-1985,92.44,107.52,76.87,
11-04-1985,115.98,101.17,120.55,
12-04-1985,81.25,37.39,103.94,
13-04-1985,29.23,38.85,16.20,
14-04-1985,53.43,53.26,44.43,
15-04-1985,45.75,36.49,45.65,
16-04-1985,135.51,120.09,150.25,
17-04-1985,91.43,112.18,70.18,
18-04-1985,77.53,98.37,58.61,
19-04-1985,37.08,36.97,30.83,
20-04-1985,105.83,63.30,123.20,
21-04-1985,38.25,61.01,25.45,
22-04-1985,50.96,84.68,28.25,
23-04-1985,135.04,95.03,145.32,
24-04-1985,96.34,73.88,110.92,
25-04-1985,136.23,57.18,178.86,
26-04-1985,53.62,59.40,49.54,
27-04-1985,71.57,40.77,102.02,
28-04-1985,41.84,27.81,46.39,
29-04-1985,74.16,0.00,123.34,
30-04-1985,101.56,62.31,116.94,
01-05-1985,88.73,58.97,122.97,
02-05-1985,164.91,85.78,214.64,
03-05-1985,106.86,82.86,118.47,
04-05-1985,110.42,110.08,122.42,
05-05-1985,110.64,103.81,108.23,
06-05-1985,110.70,50.94,155.78,
07-05-1985,130.76,115.87,144.97,
08-05-1985,98.46,112.18,116.96,
09-05-1985,106.86,106.53,99.96,
10-05-1985,87.50,62.31,93.55,
11-05-1985,48.71,19.43,64.81,
12-05-1985,85.30,85.04,94.58,
13-05-1985,97.69,106.24,73.85,
14-05-1985,108.10,76.98,141.26,
15-05-1985,88.43,108.50,67.87,
16-05-1985,96.11,51.10,127.87,
17-05-1985,142.41,135.80,164.76,
18-05-1985,92.30,102.24,85.28,
19-05-1985,95.19,75.92,116.09,
20-05-1985,108.75,116.75,97.38,
21-05-1985,110.16,141.19,78.51,
22-05-1985,139.31,154.32,128.72,
23-05-1985,115.87,81.54,147.36,
24-05-1985,92.94,66.18,110.40,
25-05-1985,71.79,61.34,68.22,
26-05-1985,83.96,106.53,63.47,
27-05-1985,97.43,64.75,108.02,
28-05-1985,121.72,173.35,57.84,
29-05-1985,54.87,68.37,57.03,
30-05-1985,86.30,79.42,88.32,
31-05-1985,107.06,75.34,136.15,
01-06-1985,72.01,102.56,34.22,
02-06-1985,85.85,99.86,59.49,
03-06-1985,120.02,111.67,106.45,
04-06-1985,77.94,93.24,51.85,
05-06-1985,103.98,103.66,86.46,
06-06-1985,99.95,99.64,94.98,
07-06-1985,114.46,80.55,134.37,
08-06-1985,84.40,84.14,70.18,
09-06-1985,71.09,56.69,70.93,
10-06-1985,148.19,156.43,144.97,
11-06-1985,106.12,90.68,100.85,
12-06-1985,120.84,127.56,106.40,
13-06-1985,128.89,128.50,107.18,
14-06-1985,112.63,105.68,110.18,
15-06-1985,114.95,145.85,121.65,
16-06-1985,125.14,146.77,97.94,
17-06-1985,133.57,230.81,59.24,
18-06-1985,258.32,287.82,265.34,
19-06-1985,165.63,201.01,203.59,
20-06-1985,246.39,300.22,204.88,
21-06-1985,213.71,288.25,125.44,
22-06-1985,158.21,197.16,180.89,
23-06-1985,147.05,169.75,180.20,
24-06-1985,230.51,323.43,170.38,
25-06-1985,205.66,307.54,146.58,
