DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
10-09-2025,3630.90,3633.61,3634.42,3620.90,-0.07
09-09-2025,3633.61,3637.10,3674.75,3625.33,-0.06
08-09-2025,3635.84,3586.82,3646.60,3579.67,1.24
07-09-2025,3591.19,3592.07,3596.56,3586.95,0.12
05-09-2025,3586.81,3547.00,3600.33,3540.05,1.15
04-09-2025,3546.17,3560.57,3564.45,3511.19,-0.37
03-09-2025,3559.43,3535.69,3578.80,3526.26,0.73
02-09-2025,3533.73,3478.36,3540.64,3470.20,1.65
01-09-2025,3476.47,3448.00,3490.06,3436.80,0.83
29-08-2025,3448.00,3418.20,3454.08,3404.29,0.90
28-08-2025,3417.20,3394.18,3423.36,3384.46,0.58
27-08-2025,3397.42,3392.88,3398.94,3373.76,0.13
26-08-2025,3392.88,3366.78,3394.33,3351.26,0.77
25-08-2025,3366.79,3371.23,3376.47,3359.69,-0.16
22-08-2025,3372.11,3338.76,3379.01,3321.49,1.00
21-08-2025,3338.81,3347.38,3353.25,3325.27,-0.25
20-08-2025,3347.11,3315.46,3350.50,3311.46,0.95
19-08-2025,3315.46,3332.38,3345.46,3314.88,-0.45
18-08-2025,3330.55,3338.00,3358.50,3323.52,-0.15
15-08-2025,3335.39,3336.50,3349.02,3332.16,-0.03
14-08-2025,3336.50,3354.73,3374.97,3329.85,-0.54
13-08-2025,3354.73,3346.20,3370.90,3342.65,0.25
12-08-2025,3346.20,3342.64,3359.27,3331.03,0.04
11-08-2025,3344.83,3398.50,3405.10,3340.82,-1.59
08-08-2025,3398.78,3397.28,3408.83,3379.61,0.04
07-08-2025,3397.31,3366.11,3402.71,3364.77,0.84
06-08-2025,3369.04,3379.69,3385.47,3358.26,-0.36
05-08-2025,3381.27,3373.38,3390.62,3349.89,0.23
04-08-2025,3373.37,3365.10,3385.56,3345.00,0.31
01-08-2025,3362.88,3290.83,3363.55,3281.55,2.21
31-07-2025,3290.32,3275.91,3314.98,3273.77,0.46
30-07-2025,3275.25,3324.01,3334.21,3268.15,-1.55
29-07-2025,3326.84,3316.54,3334.21,3307.95,0.37
28-07-2025,3314.64,3335.00,3345.56,3301.66,-0.68
25-07-2025,3337.18,3369.29,3373.73,3325.05,-0.92
24-07-2025,3368.15,3387.79,3393.47,3351.40,-0.58
23-07-2025,3387.78,3431.26,3439.09,3381.45,-1.27
22-07-2025,3431.50,3395.81,3433.56,3383.29,1.05
21-07-2025,3395.80,3348.62,3401.85,3344.48,1.36
18-07-2025,3350.40,3338.76,3361.41,3331.75,0.34
17-07-2025,3338.95,3346.59,3352.50,3309.90,-0.23
16-07-2025,3346.58,3322.63,3377.50,3319.69,0.72
15-07-2025,3322.63,3343.80,3366.58,3320.27,-0.63
14-07-2025,3343.80,3355.91,3374.94,3341.10,-0.36
11-07-2025,3355.91,3325.63,3368.89,3321.37,0.99
10-07-2025,3323.07,3313.70,3330.47,3310.23,0.28
09-07-2025,3313.72,3298.73,3317.05,3282.80,0.39
08-07-2025,3300.70,3335.99,3345.94,3287.17,-1.05
07-07-2025,3335.61,3335.95,3343.29,3296.41,-0.03
04-07-2025,3336.64,3326.44,3345.15,3323.59,0.30
03-07-2025,3326.57,3357.36,3365.81,3311.70,-0.92
02-07-2025,3357.36,3338.36,3360.08,3327.60,0.54
01-07-2025,3339.21,3302.87,3358.09,3301.52,1.08
30-06-2025,3303.69,3272.65,3309.58,3247.86,0.90
27-06-2025,3274.25,3328.06,3328.88,3255.72,-1.62
26-06-2025,3328.06,3332.47,3350.47,3310.01,-0.13
25-06-2025,3332.46,3324.20,3337.23,3312.00,0.25
24-06-2025,3324.20,3368.79,3371.01,3295.38,-1.33
23-06-2025,3368.88,3367.17,3399.25,3347.25,0.02
20-06-2025,3368.23,3370.82,3374.63,3340.38,-0.07
19-06-2025,3370.75,3369.08,3388.07,3347.59,0.05
18-06-2025,3369.09,3390.40,3400.05,3362.54,-0.58
17-06-2025,3388.74,3383.20,3403.39,3366.25,0.16
16-06-2025,3383.20,3431.54,3451.62,3382.40,-1.44
13-06-2025,3432.64,3385.30,3447.02,3379.79,1.40
12-06-2025,3385.29,3357.24,3399.16,3338.64,0.94
11-06-2025,3353.84,3322.52,3360.82,3315.23,0.93
10-06-2025,3323.02,3328.58,3349.28,3301.92,-0.16
09-06-2025,3328.33,3311.51,3338.43,3293.70,0.55
06-06-2025,3310.17,3354.26,3375.74,3306.87,-1.31
05-06-2025,3354.16,3376.55,3403.55,3339.20,-0.66
04-06-2025,3376.54,3352.56,3384.84,3343.76,0.72
03-06-2025,3352.25,3379.99,3392.53,3333.08,-0.83
02-06-2025,3380.21,3289.80,3383.24,3289.41,2.76
30-05-2025,3289.40,3319.51,3322.95,3271.55,-0.83
29-05-2025,3317.02,3286.36,3330.94,3245.55,0.83
28-05-2025,3289.76,3300.70,3325.68,3276.31,-0.33
27-05-2025,3300.68,3344.00,3350.21,3285.70,-1.26
26-05-2025,3342.94,3354.30,3357.03,3323.91,-0.43
23-05-2025,3357.42,3297.15,3366.39,3287.24,1.89
22-05-2025,3295.00,3316.49,3345.62,3279.55,-0.60
21-05-2025,3314.99,3290.12,3325.14,3285.51,0.76
20-05-2025,3290.12,3229.85,3295.98,3204.40,1.87
19-05-2025,3229.85,3214.60,3249.91,3205.98,0.85
16-05-2025,3202.77,3239.11,3252.27,3154.32,-1.18
15-05-2025,3240.87,3178.06,3241.26,3120.52,1.95
14-05-2025,3178.75,3248.37,3257.39,3167.95,-2.15
13-05-2025,3248.47,3233.40,3265.44,3215.96,0.43
12-05-2025,3234.70,3324.98,3325.42,3207.67,-2.70
09-05-2025,3324.63,3305.51,3347.64,3274.94,0.58
08-05-2025,3305.52,3366.95,3414.96,3288.80,-1.77
07-05-2025,3365.21,3430.21,3438.59,3360.20,-1.89
06-05-2025,3430.21,3336.39,3435.17,3322.98,2.87
05-05-2025,3334.50,3240.00,3337.81,3237.81,2.89
02-05-2025,3240.88,3238.55,3269.49,3222.75,0.00
